Malzeme;Nem Durumu Katsayıları;Cn;Kalıcı Etki;Orta Süreli Etki;Anlık Etki
Masif Ahşap;Az;1.00;0.6;0.8;1.10
Masif Ahşap;Orta;0.95;0.6;0.8;1.10
Masif Ahşap;Çok;0.85;0.6;0.8;1.10
Tutkallı Lamine Ahşap;Az;1.00;0.6;0.8;1.10
Tutkallı Lamine Ahşap;Orta;0.95;0.6;0.8;1.10
Tutkallı Lamine Ahşap;Çok;0.85;0.6;0.8;1.10
Çapraz Lamine Ahşap (CLT);Az;1.00;0.6;0.8;1.10
Çapraz Lamine Ahşap (CLT);Orta;0.95;0.6;0.8;1.10
Lamine Levha Ahşap (LVL);Az;1.00;0.6;0.8;1.10
Lamine Levha Ahşap (LVL);Orta;0.95;0.6;0.8;1.10
Lamine Levha Ahşap (LVL);Çok;0.85;0.6;0.8;1.10
Kontrplak;Az;1.00;0.6;0.8;1.10
Kontrplak;Orta;0.95;0.6;0.8;1.10
Kontrplak;Çok;0.85;0.6;0.8;1.10
OSB;Az (OSB/2);1.00;0.3;0.6;1.10
OSB;Az (OSB/3 ve 4);1.00;0.4;0.7;1.10
OSB;Orta (OSB/3 ve 4);0.95;0.3;0.6;0.95
Yonga Levha;Az;1.00;0.3;0.65;1.10
Yonga Levha;Orta;0.95;0.2;0.45;0.85
Lif Levha, sert;Az;1.00;0.3;0.65;1.10
Lif Levha, sert;Orta;0.95;0.2;0.45;0.85
Lif Levha, orta sert ve MDF;Az;1.00;0.2;0.6;1.10
Lif Levha, orta sert ve MDF;Orta;0.95;0.0;0.0;0.85
